path,zone,kind,qualname,name,start_line,end_line,loc,statement_count,branch_count,parameter_count,decorator_count,has_docstring,calls,semantic_hash
algorithm/analysis/annotation-analysis/scripts/evlib.py,analysis,function,iter_sessions,iter_sessions,61,71,11,11,5,1,0,True,list_users;os.path.isdir;p,b45ee273dbb4aa9283e3
algorithm/analysis/annotation-analysis/scripts/evlib.py,analysis,function,parse_events_line,parse_events_line,74,83,10,8,2,1,0,True,int;len;line.split,e72ff71a631c87508dcd
algorithm/analysis/annotation-analysis/scripts/evlib.py,analysis,function,events_summary,events_summary,85,129,45,30,15,2,0,True,bool;open;os.path.isfile;parse_events_line;round,2bc0281881a676bd4dd5
algorithm/analysis/annotation-analysis/scripts/evlib.py,analysis,function,estimate_event_count_by_size,estimate_event_count_by_size,131,146,16,16,5,2,0,True,int;len;open;os.path.getsize;os.path.isfile,f30f875c93da20c4d1a6
algorithm/analysis/annotation-analysis/scripts/evlib.py,analysis,function,frame_files,frame_files,149,152,4,4,1,1,0,False,glob.glob;os.path.isdir;p;sorted,1000f90e95eb8e420195
algorithm/analysis/annotation-analysis/scripts/evlib.py,analysis,function,parse_frame_timestamp,parse_frame_timestamp,154,160,7,7,1,1,0,True,int;m.group;os.path.basename;re.match,67a47da1fb814c6700c3
algorithm/analysis/annotation-analysis/scripts/evlib.py,analysis,function,read_timestamps_txt,read_timestamps_txt,162,175,14,13,5,1,0,True,int;len;line.split;open;os.path.isfile;out.append,ab8ac064642c6da761d4
algorithm/analysis/annotation-analysis/scripts/evlib.py,analysis,function,parse_via_csv,parse_via_csv,178,218,41,30,11,1,0,True,_csv.DictReader;float;int;isinstance;json.loads;open;os.path.isfile;qa.get;r.get;re.search;rows.append;sd.get;tsm.group,c070e0d8f3bc1d22c354
algorithm/analysis/annotation-analysis/scripts/evlib.py,analysis,function,h5_tree,h5_tree,221,230,10,10,2,2,0,True,f.visititems;h5py.File;isinstance;out.append;str;tuple,1fd93f2c745c9d67f0bf
algorithm/analysis/annotation-analysis/scripts/evlib.py,analysis,function,h5_tree.visit,visit,225,227,3,3,1,2,0,False,isinstance;out.append;str;tuple,593d1f3a8a27de6324e5
algorithm/analysis/annotation-analysis/scripts/evlib.py,analysis,function,load_mat_any,load_mat_any,232,251,20,15,5,1,0,True,d.items;f.keys;h5py.File;k.startswith;loadmat;np.array;str,8a2c058e99475cb45a6d
