group_id,semantic_hash,path,zone,qualname,line,loc
142,878e924ceffd582cca73,algorithm/common/src/EvEye/utils/scripts/evaluate_hbtxr_val_motion.py,maintained,build_manual_gt_lookup,365,33
143,89601dbcda2e2fea45d9,algorithm/common/src/EvEye/model/DavisEyeEllipse/EPNet/Metric.py,maintained,cal_ap,88,12
143,89601dbcda2e2fea45d9,algorithm/common/src/EvEye/model/DavisEyeEllipse/HBTXR/Metric.py,maintained,cal_ap,88,12
144,8cdc5d983dbd76f04a85,algorithm/common/src/EvEye/model/DavisEyeEllipse/EPNet/utils.py,maintained,PredDecoder.topk,53,25
144,8cdc5d983dbd76f04a85,algorithm/common/src/EvEye/model/DavisEyeEllipse/HBTXR/utils.py,maintained,PredDecoder.topk,53,25
145,8ce7f2fc6a76b90878f1,algorithm/analysis/data-distribution/handover-v1/04_code/motion_labeler.py,analysis,velocity_for_session,38,43
145,8ce7f2fc6a76b90878f1,algorithm/analysis/data-distribution/handover-v2/04_code/motion_labeler.py,analysis,velocity_for_session,38,43
145,8ce7f2fc6a76b90878f1,algorithm/analysis/data-distribution/src/motion_labeler.py,analysis,velocity_for_session,38,43
145,8ce7f2fc6a76b90878f1,algorithm/analysis/motion-label-packages/code/motion_labeler.py,analysis,velocity_for_session,38,43
146,8dbf99ff13d6c0b8ec48,hardware/tools/validate_final_operator_handoff.py,maintained,load_policy_validation,372,15
146,8dbf99ff13d6c0b8ec48,hardware/tools/validate_final_signoff_bundle.py,maintained,live_policy_validation,474,15
146,8dbf99ff13d6c0b8ec48,hardware/tools/validate_final_unblock_closeout_packet.py,maintained,load_policy_validation,59,15
147,8dfd83014688d36e825d,algorithm/analysis/data-distribution/handover-v1/04_code/exgaze_eval.py,analysis,extract,15,28
147,8dfd83014688d36e825d,algorithm/analysis/data-distribution/handover-v2/04_code/exgaze_eval.py,analysis,extract,15,28
147,8dfd83014688d36e825d,algorithm/analysis/data-distribution/src/exgaze_eval.py,analysis,extract,15,28
148,8e4a65cea6df141f39fd,hardware/tools/write_patch32_dtok4_300_goal_status.py,maintained,main,468,9
148,8e4a65cea6df141f39fd,hardware/tools/write_prefetchall4_300_goal_status.py,maintained,main,729,9
149,8f37dde9d5acb8a21f59,algorithm/common/src/EvEye/utils/scripts/evaluate_hbtxr_frame_motion_package.py,maintained,fmt,560,4
149,8f37dde9d5acb8a21f59,algorithm/common/src/EvEye/utils/scripts/evaluate_hbtxr_val_motion.py,maintained,fmt,561,4
150,8fa155a72ca59c4cf9ed,algorithm/common/src/EvEye/model/DavisEyeEllipse/EPNet/Predict.py,maintained,predict_txt,369,22
150,8fa155a72ca59c4cf9ed,algorithm/common/src/EvEye/model/DavisEyeEllipse/HBTXR/Predict.py,maintained,predict_txt,369,22
151,8fa9ad2d46c12da92950,algorithm/common/src/EvEye/utils/dvs_common_utils/processor/EventRandomAffine.py,maintained,temporal_scale,36,7
151,8fa9ad2d46c12da92950,algorithm/common/src/EvEye/utils/dvs_common_utils/processor/NumpyEventRandomAffine.py,maintained,temporal_scale,36,7
152,906349636db51d13ba1e,algorithm/common/src/EvEye/dataset/DavisEyeCenter/DavisEyeCenterDataset.py,maintained,DavisEyeCenterDataset.get_index,350,6
152,906349636db51d13ba1e,algorithm/common/src/EvEye/dataset/DavisEyeCenter/MemmapDavisEyeCenterDataset.py,maintained,MemmapDavisEyeCenterDataset.get_index,136,6
152,906349636db51d13ba1e,algorithm/common/src/EvEye/utils/cache/NpyCacheFrameStack.py,maintained,NpyCacheDavisEyeCenterDataset.get_index,102,6
153,9096f3f5017296a0d10e,hardware/tools/write_vref_p0_buffer_lifetime_audit.py,maintained,macro_values,39,5
153,9096f3f5017296a0d10e,hardware/tools/write_vref_p0_pot_scale_audit.py,maintained,macro_values,32,5
154,9349357de401ace026d6,hardware/pynq/hgtxr/e2e_axis_dma_overlay.py,maintained,HgtxrE2EAxisDmaOverlay._write_addr,127,18
154,9349357de401ace026d6,hardware/pynq/hgtxr/e2e_m_axi_overlay.py,maintained,HgtxrE2EMaxiOverlay._write_addr,98,18
154,9349357de401ace026d6,hardware/pynq/hgtxr/hgtxr_overlay.py,maintained,HgtxrOverlay._write_addr,149,19
155,95af0c8a0b7ebf385eb7,hardware/pynq/hgtxr/e2e_axis_dma_overlay.py,maintained,HgtxrE2EAxisDmaOverlay._done,161,4
155,95af0c8a0b7ebf385eb7,hardware/pynq/hgtxr/e2e_m_axi_overlay.py,maintained,HgtxrE2EMaxiOverlay._done,123,4
155,95af0c8a0b7ebf385eb7,hardware/pynq/hgtxr/hgtxr_overlay.py,maintained,HgtxrOverlay._done,175,4
156,965cdfb2685c18e367d3,algorithm/common/src/EvEye/model/DavisEyeEllipse/EPNet/Metric.py,maintained,p_acc,8,12
156,965cdfb2685c18e367d3,algorithm/common/src/EvEye/model/DavisEyeEllipse/HBTXR/Metric.py,maintained,p_acc,8,12
157,96cd62c3658b2da8b0de,algorithm/analysis/data-distribution/handover-v1/04_code/blink_detect.py,analysis,pupil_features_from_mask,79,15
157,96cd62c3658b2da8b0de,algorithm/analysis/data-distribution/handover-v2/04_code/blink_detect.py,analysis,pupil_features_from_mask,79,15
157,96cd62c3658b2da8b0de,algorithm/analysis/data-distribution/src/blink_detect.py,analysis,pupil_features_from_mask,79,15
158,9837e9d34f4019719cfd,algorithm/analysis/data-distribution/handover-v1/04_code/verify_mapping.py,analysis,ivt,37,4
158,9837e9d34f4019719cfd,algorithm/analysis/data-distribution/handover-v2/04_code/verify_mapping.py,analysis,ivt,37,4
158,9837e9d34f4019719cfd,algorithm/analysis/data-distribution/src/verify_mapping.py,analysis,ivt,37,4
159,991de5d9717bf1862de6,algorithm/common/src/EvEye/model/DavisEyeEllipse/EPNet/Head/EPHead.py,maintained,EPHead.forward,40,5
159,991de5d9717bf1862de6,algorithm/common/src/EvEye/model/DavisEyeEllipse/HBTXR/Head/HBTXRHead.py,maintained,HBTXRHead.forward,40,5
160,9a734feefa8600ae580f,algorithm/analysis/data-distribution/handover-v1/04_code/build_invocation_table.py,analysis,make,31,13
160,9a734feefa8600ae580f,algorithm/analysis/data-distribution/handover-v2/04_code/build_invocation_table.py,analysis,make,31,13
161,a04014127d55dc0ddaac,algorithm/hybrid/src/preprocess/groundedsam_eye_region_bbox.py,maintained,_normalize_session_code,53,10
161,a04014127d55dc0ddaac,algorithm/hybrid/src/preprocess/raw_ellipse_blink.py,maintained,_normalize_session_code,103,10
162,a27843f46812e7459f79,algorithm/analysis/data-distribution/handover-v1/04_code/invocation_designspace.py,analysis,count_ep,8,4
162,a27843f46812e7459f79,algorithm/analysis/data-distribution/handover-v2/04_code/invocation_designspace.py,analysis,count_ep,8,4
163,a2eec5441fb544d39fbc,algorithm/common/src/EvEye/model/DavisEyeEllipse/HBTXR/Backbone/DeiT.py,maintained,DeiT.reset_parameters,155,4
163,a2eec5441fb544d39fbc,quantization/src/models/vision_transformer.py,maintained,VisionTransformer.reset_parameters,156,4
164,a3359c0d5837c4d1330f,algorithm/common/src/EvEye/model/DavisEyeEllipse/HBTXR/Backbone/DeiT.py,maintained,Attention.forward,62,13
164,a3359c0d5837c4d1330f,quantization/src/models/vision_transformer.py,maintained,Attention.forward,63,13
165,a3fd2ca201a60b63cff6,algorithm/analysis/data-distribution/handover-v1/04_code/build_sec4.py,analysis,series_by_group,14,4
165,a3fd2ca201a60b63cff6,algorithm/analysis/data-distribution/handover-v2/04_code/build_sec4.py,analysis,series_by_group,14,4
165,a3fd2ca201a60b63cff6,algorithm/analysis/data-distribution/src/build_sec4.py,analysis,series_by_group,14,4
166,a4a21d67361f0cbdf7df,hardware/pynq/hgtxr/run_e2e_axis_dma_smoke.py,maintained,make_weights,64,12
166,a4a21d67361f0cbdf7df,hardware/pynq/hgtxr/run_e2e_m_axi_smoke.py,maintained,make_weights,31,12
167,a520e33a9fe45f9ef905,algorithm/analysis/data-distribution/handover-v1/04_code/event_4state.py,analysis,ssum,52,6
167,a520e33a9fe45f9ef905,algorithm/analysis/data-distribution/handover-v1/04_code/frame_center_4state.py,analysis,ssum,64,6
167,a520e33a9fe45f9ef905,algorithm/analysis/data-distribution/handover-v2/04_code/event_4state.py,analysis,ssum,52,6
167,a520e33a9fe45f9ef905,algorithm/analysis/data-distribution/handover-v2/04_code/frame_center_4state.py,analysis,ssum,64,6
168,a7dc77e24f78c297a270,algorithm/analysis/scripts/smoke_eveye_exgaze_hybrid_loaders.py,analysis,make_mask128,149,7
168,a7dc77e24f78c297a270,algorithm/analysis/scripts/train_eveye_exgaze_hybrid.py,analysis,make_mask128,58,7
