path,zone,language,kind,name,line
algorithm/archive/imports/legacy_hybrid/scripts/experiments/run_mode1_event_sweep.sh,archive,Shell,function,run_stage1_preset,209
algorithm/archive/imports/legacy_hybrid/scripts/experiments/run_mode1_event_sweep.sh,archive,Shell,function,run_stage2_preset,230
algorithm/archive/imports/legacy_hybrid/scripts/experiments/run_prepare_and_train_mode0.sh,archive,Shell,function,usage,12
algorithm/archive/imports/legacy_hybrid/scripts/runtime/hbtxr_mode_pipeline.sh,archive,Shell,function,sanitize_component,29
algorithm/archive/imports/legacy_hybrid/scripts/runtime/hbtxr_mode_pipeline.sh,archive,Shell,function,is_dotted_override_option,41
algorithm/archive/imports/legacy_hybrid/scripts/runtime/hbtxr_mode_pipeline.sh,archive,Shell,function,usage,48
algorithm/archive/imports/legacy_hybrid/scripts/runtime/run_mode2_end_to_end.sh,archive,Shell,function,print_cmd,13
algorithm/archive/imports/legacy_hybrid/scripts/runtime/run_mode2_end_to_end.sh,archive,Shell,function,run_cmd,21
algorithm/archive/imports/legacy_hybrid/scripts/runtime/run_mode2_end_to_end.sh,archive,Shell,function,usage,28
algorithm/archive/imports/legacy_hybrid/scripts/runtime/run_prepare_and_train.sh,archive,Shell,function,sanitize_component,23
algorithm/archive/imports/legacy_hybrid/scripts/runtime/run_prepare_and_train.sh,archive,Shell,function,is_timestamped_experiment_name,35
algorithm/archive/imports/legacy_hybrid/scripts/runtime/run_prepare_and_train.sh,archive,Shell,function,latest_run_root,39
algorithm/archive/imports/legacy_hybrid/scripts/runtime/run_prepare_and_train.sh,archive,Shell,function,print_cmd,69
algorithm/archive/imports/legacy_hybrid/scripts/runtime/run_prepare_and_train.sh,archive,Shell,function,run_cmd,77
algorithm/archive/imports/legacy_hybrid/scripts/runtime/run_prepare_and_train.sh,archive,Shell,function,usage,84
algorithm/archive/imports/legacy_hybrid/scripts/runtime/run_prepare_and_train_mode2.sh,archive,Shell,function,usage,13
algorithm/hybrid/scripts/external_pipeline/hbtxr_mode_pipeline.sh,maintained,Shell,function,sanitize_component,29
algorithm/hybrid/scripts/external_pipeline/hbtxr_mode_pipeline.sh,maintained,Shell,function,is_dotted_override_option,41
algorithm/hybrid/scripts/external_pipeline/hbtxr_mode_pipeline.sh,maintained,Shell,function,usage,48
algorithm/hybrid/scripts/external_pipeline/run_mode2_end_to_end.sh,maintained,Shell,function,print_cmd,13
algorithm/hybrid/scripts/external_pipeline/run_mode2_end_to_end.sh,maintained,Shell,function,run_cmd,21
algorithm/hybrid/scripts/external_pipeline/run_mode2_end_to_end.sh,maintained,Shell,function,usage,28
algorithm/hybrid/scripts/external_pipeline/run_prepare_and_train.sh,maintained,Shell,function,sanitize_component,23
algorithm/hybrid/scripts/external_pipeline/run_prepare_and_train.sh,maintained,Shell,function,is_timestamped_experiment_name,35
algorithm/hybrid/scripts/external_pipeline/run_prepare_and_train.sh,maintained,Shell,function,latest_run_root,39
algorithm/hybrid/scripts/external_pipeline/run_prepare_and_train.sh,maintained,Shell,function,print_cmd,69
algorithm/hybrid/scripts/external_pipeline/run_prepare_and_train.sh,maintained,Shell,function,run_cmd,77
algorithm/hybrid/scripts/external_pipeline/run_prepare_and_train.sh,maintained,Shell,function,usage,84
algorithm/hybrid/scripts/external_pipeline/run_prepare_and_train_mode2.sh,maintained,Shell,function,usage,13
hardware/hls/include/common.h,maintained,C/C++ Header,function,frame_patch_embed,19
hardware/hls/include/common.h,maintained,C/C++ Header,function,event_patch_embed,20
hardware/hls/include/common.h,maintained,C/C++ Header,function,pool_tokens,21
hardware/hls/include/common.h,maintained,C/C++ Header,function,matmul,22
hardware/hls/include/common.h,maintained,C/C++ Header,function,attention_stage,23
hardware/hls/include/common.h,maintained,C/C++ Header,function,mlp_stage,24
hardware/hls/include/common.h,maintained,C/C++ Header,function,fusion,25
hardware/hls/include/common.h,maintained,C/C++ Header,function,search_head,26
hardware/hls/include/common.h,maintained,C/C++ Header,function,track_head,27
hardware/hls/include/common.h,maintained,C/C++ Header,function,runtime_fsm,28
hardware/hls/include/common.h,maintained,C/C++ Header,function,hgtxr_top,30
hardware/hls/include/common.h,maintained,C/C++ Header,function,hgtxr_top,32
hardware/hls/include/common.h,maintained,C/C++ Header,function,global_buffer_write_search,35
hardware/hls/include/common.h,maintained,C/C++ Header,function,global_buffer_write_track,36
hardware/hls/include/common.h,maintained,C/C++ Header,function,noc_route_tokens,37
hardware/hls/include/common.h,maintained,C/C++ Header,function,weight_prefetcher,38
hardware/hls/include/common.h,maintained,C/C++ Header,function,controller_active_tokens,39
hardware/hls/include/common.h,maintained,C/C++ Header,function,controller_depth_limit,40
hardware/hls/include/common.h,maintained,C/C++ Header,function,layernorm_stage,41
hardware/hls/include/common.h,maintained,C/C++ Header,function,softmax_stage,42
hardware/hls/include/common.h,maintained,C/C++ Header,function,gelu_stage,43
hardware/hls/include/common.h,maintained,C/C++ Header,function,rmu_projection_stage,44
hardware/hls/include/common.h,maintained,C/C++ Header,function,smu_relation_stage,45
hardware/hls/include/hgtxr_cyclic_mac.hpp,maintained,C++ Header,function,zero_tile,10
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_clamp_int,17
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_clamp_int,34
