Subject,Split,Motion,N,Mean,Median,P95,P99,IoU_Mean,IoU_Median,IoU_Note
42,Test,Saccade,341,5.497285305175526,3.4587056636810303,14.272157669067383,21.40115661621094,0.23089664183104755,0.22388059701492538,center_proxy_gt_axes_angle
42,Test,Smooth,10571,4.848938422419061,2.92044734954834,15.38857650756836,23.95707340240472,0.27582308826111696,0.3,center_proxy_gt_axes_angle
43,Test,Fixation,18740,3.831797339501935,2.668669581413269,13.036060333251951,18.882516651153566,0.3623541387297565,0.3880597014925373,center_proxy_gt_axes_angle
43,Test,Saccade,434,3.9820301125023496,2.667821168899536,13.98502583503723,19.824361991882327,0.36436870628740103,0.3886593204775023,center_proxy_gt_axes_angle
43,Test,Smooth,11034,3.487829981493472,2.346823573112488,12.474655961990358,20.0625172996521,0.38743489888741156,0.4166666666666667,center_proxy_gt_axes_angle
44,Test,Fixation,19499,3.0367101141332533,1.938104510307312,11.271877479553222,16.375866737365737,0.39086792978010754,0.42857142857142855,center_proxy_gt_axes_angle
44,Test,Saccade,158,3.55999292442693,2.1293658018112183,12.940735626220704,16.914309101104738,0.37187072777332153,0.3761792452830189,center_proxy_gt_axes_angle
44,Test,Smooth,10910,3.0756741250324806,2.029724955558777,10.69134178161621,16.41380167007446,0.3743244455593827,0.4100462379150904,center_proxy_gt_axes_angle
45,Test,Fixation,18764,4.578561606923113,2.489863634109497,14.92705211639404,21.023305816650385,0.32862326195525393,0.36486486486486486,center_proxy_gt_axes_angle
45,Test,Saccade,333,4.4150359852088465,2.3565096855163574,14.665135765075682,16.76417091369629,0.3383295997394832,0.36470588235294116,center_proxy_gt_axes_angle
45,Test,Smooth,11035,4.216461502345415,2.398603677749634,14.171967792510985,16.80914882659912,0.3421303613787823,0.38461538461538464,center_proxy_gt_axes_angle
46,Test,Fixation,19303,3.1562408891135036,2.0310566425323486,11.622497558593746,15.266794319152805,0.4068343722246784,0.45,center_proxy_gt_axes_angle
46,Test,Saccade,100,3.2031627871096133,1.825638473033905,11.517540073394771,14.289819345474253,0.4227643065008615,0.480466768138001,center_proxy_gt_axes_angle
46,Test,Smooth,10841,2.627457993987495,1.8018971681594849,9.203169822692871,14.588827514648441,0.4443544410993747,0.47692307692307695,center_proxy_gt_axes_angle
47,Test,Fixation,19366,5.37572787129767,2.536889433860779,18.04988670349121,34.759781074523914,0.3124645002974484,0.3516483516483517,center_proxy_gt_axes_angle
47,Test,Saccade,283,5.729134345618028,2.638256788253784,17.903441429138184,35.15136520385743,0.28862336409623884,0.32926829268292684,center_proxy_gt_axes_angle
47,Test,Smooth,10947,4.481240206361402,2.4203379154205322,15.695720863342284,31.38198032379147,0.3426346364510062,0.37777777777777777,center_proxy_gt_axes_angle
48,Test,Fixation,18865,3.2527036561329274,2.334829330444336,10.681849861145018,15.902544975280762,0.39570592563458096,0.4264705882352941,center_proxy_gt_axes_angle
48,Test,Saccade,145,3.0528518463003222,2.3561081886291504,10.055539894104,15.683599777221682,0.4208307146719968,0.44,center_proxy_gt_axes_angle
48,Test,Smooth,10651,2.997508910682576,2.125344753265381,9.960210800170898,15.297132015228271,0.4112262234781203,0.44642857142857145,center_proxy_gt_axes_angle
